,count,mean,median,std,min,max
Segment 1(20th second),205.0,0.07804878048780488,0.0,0.3483238542114525,0.0,3.0
Segment 2 (40th second),205.0,0.2048780487804878,0.0,0.5747766912975153,0.0,4.0
Segment 3 (1 minute),205.0,0.3902439024390244,0.0,0.8710498730821681,0.0,6.0
Segment 4 (1minute 20 second),205.0,0.6048780487804878,0.0,1.0823791920797232,0.0,6.0
Segment 5 (1minute 40 second),205.0,0.8682926829268293,0.0,1.3566175903569162,0.0,8.0
Segment 6 (2 minutes),205.0,1.048780487804878,1.0,1.5106033645889991,0.0,10.0
Segment 7 (2 minutes 20 second),205.0,1.3121951219512196,1.0,1.689093491931661,0.0,9.0
Segment 8 (2 minute 40 second),205.0,1.604878048780488,1.0,1.9666273533182903,0.0,10.0
Segment 9 (3 minute),205.0,1.8,1.0,2.0636917234441206,0.0,10.0
Segment 10 (3 minute 20 second),205.0,1.9707317073170731,1.0,2.2005173079901525,0.0,10.0
Segment 11 (3 minute 40 second),205.0,2.126829268292683,2.0,2.2499481900618727,0.0,10.0
Segment 12 (4 minutes),205.0,2.297560975609756,2.0,2.405924856298697,0.0,10.0
Segment 13 (4 minute 20 second),205.0,2.4634146341463414,2.0,2.44646164033445,0.0,10.0
Segment 14 (4 minute 40 second),205.0,2.629268292682927,2.0,2.5047253286106717,0.0,10.0
Segment 15 (5 minutes),205.0,2.707317073170732,2.0,2.463895194874312,0.0,10.0
Segment 16 (5 minute 20 second),205.0,2.8634146341463413,2.0,2.557357330998592,0.0,10.0
Segment 17 (5 minute 40 second),205.0,3.0146341463414634,3.0,2.5828963237839315,0.0,10.0
Segment 18 (6 minute),205.0,3.1121951219512196,3.0,2.7083924689125767,0.0,10.0
Segment 19 (6 minute 20 second),205.0,3.1658536585365855,3.0,2.720979653102324,0.0,10.0
Segment 20 (6 minute 40 second),205.0,3.297560975609756,3.0,2.822223414684103,0.0,10.0
Segment 21 (7 minute),205.0,3.4,3.0,2.808600237505802,0.0,10.0
Segment 22 (7 minute 20 second),205.0,3.5853658536585367,3.0,2.9337088364497945,0.0,10.0
Segment 23 (7 minute 40 second),205.0,3.7219512195121953,3.0,3.005836821520556,0.0,10.0
Segment 24 (8 minute),205.0,3.790243902439024,4.0,3.0437822251826154,0.0,10.0
Segment 25 (8 minute 20 second),205.0,3.9121951219512194,4.0,3.0376877108102245,0.0,10.0
Segment 26 (8 minute 40 second),205.0,4.107317073170732,4.0,3.185167081213526,0.0,10.0
Segment 27 (9 minute),205.0,4.204878048780488,4.0,3.191129803271798,0.0,10.0
Segment 28  (9 minute 20 second),205.0,4.31219512195122,4.0,3.2749940219935874,0.0,10.0
Segment 29 (9 minute 40 second),205.0,4.380487804878049,4.0,3.2901531277460654,0.0,10.0
Segment 30 (10 minutes),205.0,4.482926829268293,4.0,3.323409426358425,0.0,10.0
Segment 31 (10 minutes 20 second),205.0,4.6,4.0,3.3731930529616916,0.0,10.0
Segment 32 (10 minute 40 second),205.0,4.560975609756097,4.0,3.3420140435146672,0.0,10.0
Segment 33 (11 minute),205.0,4.590243902439024,4.0,3.323697214776657,0.0,10.0
Segment 34 (11 minute 20 second),205.0,4.668292682926829,4.0,3.3675527147270916,0.0,10.0
Segment 35 (11 minute 40 second),205.0,4.712195121951219,5.0,3.431414497249913,0.0,10.0
Segment 36 (12 minute),205.0,4.712195121951219,5.0,3.381045429602346,0.0,10.0
Segment 37 (12 minute 20 second),205.0,4.760975609756097,5.0,3.3877575185222684,0.0,10.0
Segment 38 (12 minute 40 second),205.0,4.8341463414634145,5.0,3.4728364513312293,0.0,10.0
Segment 39 (13 minutes),205.0,4.848780487804878,5.0,3.457240338825422,0.0,10.0
Segment 40 (13 minute 20 second),205.0,4.941463414634146,5.0,3.4946019724653725,0.0,10.0
Segment 41 (13 minute 40 second),205.0,5.053658536585366,5.0,3.505185064131646,0.0,10.0
Segment 42 (14 minute),205.0,5.190243902439025,5.0,3.5601143459032696,0.0,10.0
Segment 43 (14 minute 20 second),205.0,5.229268292682927,6.0,3.5412308084125925,0.0,10.0
Segment 44 (14 minute 40 second),205.0,5.175609756097561,5.0,3.5725519856400174,0.0,10.0
Segment 45 (15 minute ),205.0,5.214634146341464,5.0,3.5331456416766773,0.0,10.0
Segment 46 (15 minute 20 second),205.0,5.146341463414634,5.0,3.5297126445957914,0.0,10.0
Segment 47 (15 minute 40 second),205.0,5.2439024390243905,5.0,3.543708093122052,0.0,10.0
Segment 48 (16 minute),205.0,5.302439024390244,6.0,3.512756012921018,0.0,10.0
Segment 49 (16 minute 20 second),205.0,5.2682926829268295,6.0,3.4840279135150567,0.0,10.0
Segment 50 (16 minute 40 second),205.0,5.365853658536586,5.0,3.512973836304169,0.0,10.0
Segment 51 (17 minute),205.0,5.414634146341464,6.0,3.608103690714273,0.0,17.0
Segment 52 (17 minute 20 second),205.0,5.307317073170732,6.0,3.4878212652576606,0.0,10.0
Segment 53 (17 minute 40 second),205.0,5.385365853658537,6.0,3.4814326113339726,0.0,10.0
Segment 54 (18 minute),205.0,5.31219512195122,6.0,3.438549848377948,0.0,10.0
Segment 55 (18 minute 20 second),205.0,5.331707317073171,6.0,3.4904940254021013,0.0,10.0
Segment 56 (18 minute 40 second),205.0,5.351219512195122,6.0,3.54710058006643,0.0,10.0
Segment 57 (19 minute),205.0,5.390243902439025,6.0,3.6006402533907265,0.0,10.0
Segment 58 (19 minute 20 second),205.0,5.365853658536586,5.0,3.5669788499140416,0.0,10.0
Segment 59 (19 minute 40 second),204.0,5.514705882352941,6.0,3.5890884735130375,0.0,10.0
Segment 60 (20 minute),204.0,5.553921568627451,6.0,3.572201693582128,0.0,10.0
